No|             BAT_NAME|      RA|     DEC|     SNR|              COUNTERPART_NAME|                     OTHER_NAME| CTPT_RA|CTPT_DEC|    FLUX| FLUX_LO| FLUX_HI|CONTA|  GAMMA|GAMM_LO|GAMM_HI|  CHI_SQ_R|REDSHIFT|       LUM|ASSOC_STREN|   CL2|                 TYPE
#    |                     |     deg|     deg|        |                              |                               |     deg|     deg|10^-12er|10^-12er|10^-12er|     |       |       |       |          |        |log[erg/s]|      |           |
1697|   SWIFT J0449.5-3911| 72.3689|-39.1866|    4.56|                 QSO B0448-392|                               | 72.4261|-39.1860|    7.35|    4.85|   10.15|  |   1.99|   1.54|   2.55|      0.90|  1.2995|     46.88|  0        |          7|FSRQ
1698|   SWIFT J0454.6+4503| 73.6511| 45.0489|    5.01|                          None|                               |      NA|      NA|    9.76|    6.27|   13.78|  |   1.93|   1.38|   2.59|      0.22|      NA|  NA |  7        |          0|Unknown
1699|   SWIFT J0455.0+5237| 73.7442| 52.6232|    6.48|                    LEDA 16297|                               | 73.6326| 52.6685|   13.05|    9.43|   17.04|  |   1.68|   1.27|   2.13|      1.22|  0.0312|     43.48|  0        |          2|Galaxy
1700|   SWIFT J0455.8-4616| 73.9506|-46.2620|    4.94|                   PKS 0454-46|                               | 73.9616|-46.2663|    7.98|    5.31|   11.03|  |   1.85|   1.39|   2.39|      0.19|  0.8500|     46.46|  1        |          7|FSRQ
1701|   SWIFT J0456.1-2200| 74.0180|-21.9989|    4.98|                       2E 1185|                               | 74.0372|-21.9859|    9.42|    6.48|   12.75|  |   1.78|   1.36|   2.24|      1.58|  0.5340|     46.04|  0        |          4|Sy1
1702|   SWIFT J0508.7+4203| 77.1804| 42.0445|    4.90|       2MASS J05083849+4205217|                               | 77.1604| 42.0894|    7.93|    5.01|   11.44|  |   2.49|   1.86|   3.44|      0.36|      NA|  NA |  0        |          6|Other AGN
1703|   SWIFT J0519.6+1742| 79.9015| 17.7008|    5.13|                 CGCG 469-005 |                               | 79.8567| 17.7086|   14.39|   10.40|   18.81|  |   1.62|   1.24|   2.00|      1.91|  0.0169|     42.98|  4        |          6|Other AGN
1704|   SWIFT J0520.2-6931| 80.0434|-69.5109|    7.51|               RX J0520.5-6932|                               | 80.1288|-69.5319|    7.66|    6.26|    9.23|  |   3.69|   3.18|   4.37|      1.31|      NA|        NA|  1        |         12|Star
1705|   SWIFT J0528.6+6130| 82.1462| 61.5026|    4.85|                          None|                               |      NA|      NA|    8.32|    5.61|   11.46|  |   2.09|   1.61|   2.66|      1.20|      NA|  NA |  7        |          0|Unknown
1706|   SWIFT J0530.0+2155| 82.4981| 21.9166|    4.87|                          None|                               |      NA|      NA|   11.62|    7.80|   15.90|  |   1.95|   1.47|   2.54|      1.09|      NA|  NA |  5        |          0|Unknown
1707|   SWIFT J0533.1+0729| 83.2757|  7.4904|    7.96|                PMN J0532+0732|                               | 83.1625|  7.5454|   14.42|   11.44|   17.71|  |   2.46|   2.14|   2.84|      1.57|  1.2540|     47.13|  1        |          7|FSRQ
1708|   SWIFT J0608.0+3059| 92.0092| 30.9765|    6.80|         1RXS J060801.7+305847|                               | 92.0034| 30.9783|   13.66|   10.46|   17.25|  |   2.09|   1.77|   2.45|      1.46|  0.0730|     44.26|  1        |          4|Sy1
1709|   SWIFT J0609.7-5607| 92.4130|-56.1194|    4.70|       2MASX J06091748-5606584|                               | 92.3228|-56.1162|    6.81|    4.50|    9.43|  |   2.15|   1.65|   2.74|      0.94|  0.0318|     43.21|  0        |          4|Sy1
1710|   SWIFT J0611.7-6626| 92.9201|-66.4385|    6.13|       2MASS J06114834-6624337|                               | 92.9515|-66.4094|    8.00|    5.98|   10.30|  |   2.46|   2.07|   2.91|      1.04|  0.2300|     45.11|  0        |          6|Other AGN
1711|   SWIFT J0613.4-2903| 93.3577|-29.0431|    4.50|       2MASX J06132430-2900233|                               | 93.3512|-29.0063|    8.35|    5.24|   11.86|  |   1.84|   1.32|   2.51|      1.90|  0.0706|     44.02|  0        |          4|Sy1
1712|   SWIFT J0648.8+1518|102.1968| 15.3026|    4.72|               RX J0648.7+1516|                               |102.1985| 15.2736|    8.02|    5.02|   11.73|  |   2.40|   1.78|   3.23|      0.69|  0.1790|     44.87|  0        |          7|Beamed AGN
1713|   SWIFT J0651.1+2503|102.7751| 25.0577|    5.12|                 QSO B0647+250|                               |102.6937| 25.0499|   10.17|    6.80|   14.01|  |   2.02|   1.55|   2.56|      0.73|  0.2030|     45.09|  0        |          7|Beamed AGN
1714|   SWIFT J0707.0-1231|106.7469|-12.5188|    4.77|        2SXPS J070711.0-122757|                               |106.7961|-12.4660|    9.97|    6.71|   13.60|  |   1.81|   1.39|   2.29|      2.19|      NA|  NA |  0        |          0|Gamma-ray source
1715|   SWIFT J0712.1+1539|108.0345| 15.6488|    4.91|       2MASX J07121560+1539306|                               |108.0650| 15.6584|    8.77|    5.53|   12.62|  |   2.15|   1.59|   2.88|      0.38|  0.1627|     44.82|  0        |          7|FSRQ
1716|   SWIFT J0716.8-7105|109.2005|-71.0768|    4.33|         SRGA J071739.0-710349|                               |109.4126|-71.0637|    7.02|    4.53|    9.88|  |   2.03|   1.51|   2.67|      1.29|      NA|  NA |  0        |          0|X-ray source
1717|   SWIFT J0717.0+0029|109.2424|  0.4845|    4.64|       2MASS J07164508+0027498|                               |109.1879|  0.4638|    8.80|    5.79|   12.16|  |   2.09|   1.62|   2.65|      0.47|  0.0519|     43.76|  4        |          7|FSRQ
1718|   SWIFT J0718.3+1834|109.5737| 18.5611|    5.43|                          None|                               |      NA|      NA|    9.49|    5.81|   13.83|  |   1.97|   1.34|   2.74|      1.46|      NA|  NA |  7        |          0|Unknown
1719|   SWIFT J0729.7-6541|112.4254|-65.6903|    5.30|       2MASS J07295707-6543328|                               |112.4878|-65.7258|    6.60|    4.03|    9.72|  |   2.03|   1.40|   2.78|      1.95|  0.0796|     44.03|  0        |          6|Other AGN
1720|   SWIFT J0739.3+0138|114.8326|  1.6322|    4.64|                  QSO B0736+01|                               |114.8251|  1.6179|   11.06|    7.51|   15.05|  |   1.70|   1.27|   2.18|      1.27|  0.1900|     45.07|  0        |          7|FSRQ
1721|   SWIFT J0745.9+1013|116.4757| 10.2192|    5.04|                 QSO B0742+103|                               |116.3877| 10.1869|   11.23|    7.04|   16.00|  |   1.54|   0.93|   2.19|      1.50|  2.6200|     47.81|  0        |          7|FSRQ
1722|   SWIFT J0749.6-8633|117.4046|-86.5447|    5.24|       2MASX J07504720-8632118|                               |117.6971|-86.5367|    7.06|    4.78|    9.59|  |   2.26|   1.80|   2.83|      0.63|  0.1090|     44.35|  0        |          4|Sy1
1723|   SWIFT J0751.0+0322|117.7403|  3.3695|    6.04|       2MASX J07510082+0320401|                               |117.7533|  3.3445|   13.11|    9.62|   17.01|  |   1.75|   1.39|   2.13|      1.82|  0.0990|     44.52|  1        |          4|Sy1
1724|   SWIFT J0804.6-2747|121.1572|-27.7815|    4.89|         ICRF J080451.4-274911|                               |121.2144|-27.8198|    7.91|    5.11|   11.13|  |   2.12|   1.60|   2.76|      0.27|      NA|  NA |  0        |          7|FSRQ
1725|   SWIFT J0805.1-0609|121.2818| -6.1490|    5.11|                          None|                               |      NA|      NA|    8.02|    5.19|   11.40|  |   2.14|   1.62|   2.74|      1.41|      NA|  NA |  7        |          0|Unknown
1726|   SWIFT J0809.0-1028|122.2378|-10.4595|    4.32|                        3C 195|                               |122.2235|-10.4610|    8.69|    5.70|   12.14|  |   1.90|   1.44|   2.41|      1.91|  0.1100|     44.44|  3        |          5|Sy2
1727|   SWIFT J0824.6+2959|126.1576| 29.9847|    5.57|              IRAS F08216+3009|                               |126.1804| 29.9899|    7.16|    5.34|    9.31|  |   3.03|   2.52|   3.66|      0.80|  0.0254|     43.04|  4        |          5|Sy2
1728|   SWIFT J0826.9-6405|126.7360|-64.0829|    5.19|             4FGL J0826.4-6404|                               |126.6161|-64.0709|    6.38|    4.19|    8.95|  |   2.35|   1.83|   3.02|      0.77|  0.2400|     45.06|  0        |          7|Beamed AGN
1729|   SWIFT J0849.1-5549|132.2733|-55.8099|    4.79|                       RKK 527|                               |132.3127|-55.7689|    7.60|    4.53|   11.10|  |   1.88|   1.27|   2.67|      1.14|  0.0658|     43.91|  1        |          4|Sy1
1730|   SWIFT J0857.7-2513|134.4186|-25.2148|    4.10|         2RXS J085750.9-251218|                               |134.4640|-25.2084|    6.18|    4.09|    8.57|  |   2.71|   2.18|   3.45|      0.97|      NA|  NA |  0        |          0|X-ray source
1731|   SWIFT J0911.9-6454|137.9670|-64.8974|   16.53|            SWIFT J0911.9-6452|                               |138.0101|-64.8684|   22.18|   19.88|   24.57|  |   2.42|   2.26|   2.59|      2.06|      NA|        NA|  1        |         10|Pulsar
1732|   SWIFT J0922.3-5942|140.5747|-59.7037|    4.92|                          None|                               |      NA|      NA|    8.19|    5.52|   11.23|  |   1.98|   1.51|   2.53|      0.40|      NA|  NA |  7        |          0|Unknown
